49,1,18152433_2.js,1,27,ionic-team__ionic-site/ionic-site-main/content/js/ionic.js,1924,1950,,,,
49,2,18152433_2.js,1,27,Dogfalo__materialize/materialize-master/js/global.js,131,159,,,,
51,1,35733295_7.js,9,19,udacity__frontend-nanodegree-resume/frontend-nanodegree-resume-master/js/jQuery.js,353,363,QS,,,
51,4,35733295_7.js,9,19,thomaspark__bootswatch/bootswatch-master/docs/3/bower_components/jquery/src/exports/global.js,15,25,QS,,,
51,7,35733295_7.js,9,19,thomaspark__bootswatch/bootswatch-master/docs/3/bower_components/font-awesome/src/assets/js/jquery-1.10.2.js,383,393,QS,,,
51,8,35733295_7.js,9,19,thomaspark__bootswatch/bootswatch-master/docs/2/bower_components/jquery/jquery.js,353,363,QS,,,
51,9,35733295_7.js,9,19,thinkgem__jeesite/jeesite-master/src/main/webapp/static/jquery/jquery-1.9.1.js,383,393,QS,,,
51,10,35733295_7.js,9,19,thinkgem__jeesite/jeesite-master/src/main/webapp/static/jquery/jquery-1.8.3.js,356,366,QS,,,
51,11,35733295_7.js,9,19,thinkgem__jeesite/jeesite-master/src/main/webapp/static/jquery-validation/1.11.1/lib/jquery-1.8.3.js,356,366,QS,,,
51,12,35733295_7.js,9,19,thinkgem__jeesite/jeesite-master/src/main/webapp/static/jquery-validation/1.11.0/lib/jquery-1.9.0.js,366,376,QS,,,
51,13,35733295_7.js,9,19,thinkgem__jeesite/jeesite-master/src/main/webapp/act/process-editor/editor-app/libs/jquery_1.11.0/jquery.js,383,393,QS,,,
51,14,35733295_7.js,9,19,tastejs__todomvc/todomvc-master/bower_components/jquery/src/exports/global.js,13,23,QS,,,
51,15,35733295_7.js,9,19,tastejs__todomvc/todomvc-master/bower_components/jquery/dist/jquery.js,9186,9196,QS,,,
51,17,35733295_7.js,9,19,select2__select2/select2-master/tests/vendor/jquery-2.2.4.js,9794,9804,QS,,,
51,18,35733295_7.js,9,19,select2__select2/select2-master/tests/vendor/jquery-1.12.4.js,10988,10998,QS,,,
51,21,35733295_7.js,9,19,muaz-khan__WebRTC-Experiment/WebRTC-Experiment-master/RTCMultiConnection-SignalR/RTCMultiConnection/Scripts/jquery-1.10.2.js,397,407,QS,,,
51,22,35733295_7.js,9,19,matthieua__WOW/WOW-master/spec/javascripts/libs/jquery.js,383,393,QS,,,
51,23,35733295_7.js,9,19,jquery__jquery/jquery-master/test/data/jquery-1.9.1.js,394,404,QS,,,
51,24,35733295_7.js,9,19,jquery__jquery/jquery-master/src/exports/global.js,11,21,QS,,,
51,25,35733295_7.js,9,19,jquery__jquery-ui/jquery-ui-master/external/jquery-custom/jquery.js,10280,10290,QS,,,
51,35,35733295_7.js,9,19,jquery__jquery-ui/jquery-ui-master/external/jquery-3.1.0/jquery.js,10053,10063,QS,,,
51,36,35733295_7.js,9,19,jquery__jquery-ui/jquery-ui-master/external/jquery-3.0.0/jquery.js,10016,10026,QS,,,
51,37,35733295_7.js,9,19,jquery__jquery-ui/jquery-ui-master/external/jquery-2.2.4/jquery.js,9794,9804,QS,,,
51,38,35733295_7.js,9,19,jquery__jquery-ui/jquery-ui-master/external/jquery-2.2.3/jquery.js,9822,9832,QS,,,
51,39,35733295_7.js,9,19,jquery__jquery-ui/jquery-ui-master/external/jquery-2.2.2/jquery.js,9822,9832,QS,,,
51,40,35733295_7.js,9,19,jquery__jquery-ui/jquery-ui-master/external/jquery-2.2.1/jquery.js,9811,9821,QS,,,
51,41,35733295_7.js,9,19,jquery__jquery-ui/jquery-ui-master/external/jquery-2.2.0/jquery.js,9811,9821,QS,,,
51,42,35733295_7.js,9,19,jquery__jquery-ui/jquery-ui-master/external/jquery-2.1.4/jquery.js,9186,9196,QS,,,
51,43,35733295_7.js,9,19,jquery__jquery-ui/jquery-ui-master/external/jquery-2.1.3/jquery.js,9181,9191,QS,,,
51,44,35733295_7.js,9,19,jquery__jquery-ui/jquery-ui-master/external/jquery-2.1.2/jquery.js,9181,9191,QS,,,
51,45,35733295_7.js,9,19,jquery__jquery-ui/jquery-ui-master/external/jquery-2.1.1/jquery.js,9166,9176,QS,,,
51,46,35733295_7.js,9,19,jquery__jquery-ui/jquery-ui-master/external/jquery-2.1.0/jquery.js,9087,9097,QS,,,
51,47,35733295_7.js,9,19,jquery__jquery-ui/jquery-ui-master/external/jquery-2.0.3/jquery.js,353,363,QS,,,
51,48,35733295_7.js,9,19,jquery__jquery-ui/jquery-ui-master/external/jquery-2.0.2/jquery.js,353,363,QS,,,
51,49,35733295_7.js,9,19,jquery__jquery-ui/jquery-ui-master/external/jquery-2.0.1/jquery.js,353,363,QS,,,
51,50,35733295_7.js,9,19,jquery__jquery-ui/jquery-ui-master/external/jquery-2.0.0/jquery.js,353,363,QS,,,
51,51,35733295_7.js,9,19,jquery__jquery-ui/jquery-ui-master/external/jquery-1.9.1/jquery.js,383,393,QS,,,
51,52,35733295_7.js,9,19,jquery__jquery-ui/jquery-ui-master/external/jquery-1.9.0/jquery.js,366,376,QS,,,
51,53,35733295_7.js,9,19,jquery__jquery-ui/jquery-ui-master/external/jquery-1.8.3/jquery.js,356,366,QS,,,
